---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 ST 10-7  7.028e+01  [-37 1.338e-02 4.897e-03 2.894e-07]  !400 -1 80!  WARNING: The linear system solution has not converged
 ST 10-8  7.195e+01  [-31 2.748e-02 1.006e-02 4.570e-09]  !400 0 78!  WARNING: The linear system solution has not converged
 ST 10-9  7.356e+01  [-77 1.380e-04 5.051e-05 1.140e-07]  !400 -7 81!  WARNING: The linear system solution has not converged
 ST 10-10s 7.474e+01  [-118 1.172e-06 4.289e-07 7.577e-07]  [268 -2 73]
 ST 11-1  7.743e+01  [0 1.000e+00 7.591e-01 4.494e-08]  !400 0 55!  WARNING: The linear system solution has not converged
 ST 11-2  7.952e+01  [-46 4.888e-03 3.711e-03 1.030e-07]  !400 -2 83!  WARNING: The linear system solution has not converged
 ST 11-3  8.123e+01  [-68 3.778e-04 2.868e-04 3.838e-09]  !400 0 82!  WARNING: The linear system solution has not converged
 ST 11-4  8.229e+01  [-158 1.143e-08 8.673e-09 3.914e-05]  [200 0 69]
 ST 11-5s 8.279e+01  [-234 1.906e-12 1.447e-12 2.348e-01]  [22 -1 29]
 ST 12-1  8.615e+01  [0 1.000e+00 6.923e-01 2.343e-07]  !400 0 56!  WARNING: The linear system solution has not converged
 ST 12-2  8.798e+01  [-26 4.589e-02 3.177e-02 7.816e-09]  !400 -1 83!  WARNING: The linear system solution has not converged
 ST 12-3  8.988e+01  [-16 1.582e-01 1.095e-01 3.492e-09]  !400 0 84!  WARNING: The linear system solution has not converged
 ST 12-4  9.181e+01  [-48 3.659e-03 2.534e-03 6.356e-08]  !400 -1 84!  WARNING: The linear system solution has not converged
 ST 12-5  9.344e+01  [-61 8.163e-04 5.652e-04 4.122e-08]  !400 0 81!  WARNING: The linear system solution has not converged
 ST 12-6  9.482e+01  [-133 2.219e-07 1.536e-07 2.192e-06]  [288 -26 78]
