---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 HS 1-1  1.360e-01  [0 1.000e+00 1.000e+00 8.902e-13]  [319 0 54]
 HS 1-2  2.000e-01  [-240 9.286e-13 9.286e-13 3.241e-01]  [8 0 3]
 HS 2-1  3.340e-01  [0 1.000e+00 5.000e-01 9.640e-13]  [319 0 55]
 HS 2-2s 3.970e-01  [-240 9.952e-13 4.976e-13 5.940e-01]  [3 0 2]
